,cell_names,drug_names,area_under_dose_curve
0,OVK18,(-)-gallocatechin-3-monogallate,0.52
1,WSUDLCL2,(-)-gallocatechin-3-monogallate,0.718
2,NCIH1105,(-)-gallocatechin-3-monogallate,0.746
3,SUDHL5,(-)-gallocatechin-3-monogallate,0.96
4,COV434,(-)-gallocatechin-3-monogallate,1.212
5,SNUC5,(-)-gallocatechin-3-monogallate,1.451
6,SUDHL4,(-)-gallocatechin-3-monogallate,1.562
7,NCIH1963,(-)-gallocatechin-3-monogallate,1.647
8,KMS11,(-)-gallocatechin-3-monogallate,1.696
9,PL21,(-)-gallocatechin-3-monogallate,1.732
10,OVCAR8,(-)-gallocatechin-3-monogallate,2.056
11,SCLC21H,(-)-gallocatechin-3-monogallate,2.287
12,OVCAR4,(-)-gallocatechin-3-monogallate,2.69
13,GDM1,(-)-gallocatechin-3-monogallate,2.707
14,CAL12T,(-)-gallocatechin-3-monogallate,2.743
15,MCF7,(-)-gallocatechin-3-monogallate,2.93
16,NUDUL1,(-)-gallocatechin-3-monogallate,3.043
17,CORL51,(-)-gallocatechin-3-monogallate,3.186
18,CORL23,(-)-gallocatechin-3-monogallate,3.207
19,COLO320,(-)-gallocatechin-3-monogallate,3.317
20,RKO,(-)-gallocatechin-3-monogallate,3.339
21,HCT116,(-)-gallocatechin-3-monogallate,3.341
22,KM12,(-)-gallocatechin-3-monogallate,3.521
23,OVKATE,(-)-gallocatechin-3-monogallate,3.573
24,OCIAML3,(-)-gallocatechin-3-monogallate,3.69
25,NCIH1694,(-)-gallocatechin-3-monogallate,3.913
26,HCC1359,(-)-gallocatechin-3-monogallate,3.928
27,A2780,(-)-gallocatechin-3-monogallate,4.009
28,HCC15,(-)-gallocatechin-3-monogallate,4.06
29,NCIH3255,(-)-gallocatechin-3-monogallate,4.068
30,NCIH441,(-)-gallocatechin-3-monogallate,4.218
31,SNU840,(-)-gallocatechin-3-monogallate,4.24
32,CW2,(-)-gallocatechin-3-monogallate,4.271
33,A375,(-)-gallocatechin-3-monogallate,4.551
34,COV644,(-)-gallocatechin-3-monogallate,4.609
35,HCC2108,(-)-gallocatechin-3-monogallate,4.707
36,SNU398,(-)-gallocatechin-3-monogallate,4.752
37,SKM1,(-)-gallocatechin-3-monogallate,4.851
38,NOMO1,(-)-gallocatechin-3-monogallate,4.915
39,HEC151,(-)-gallocatechin-3-monogallate,4.981
40,LS123,(-)-gallocatechin-3-monogallate,4.982
41,LP1,(-)-gallocatechin-3-monogallate,5.003
42,SNU81,(-)-gallocatechin-3-monogallate,5.026
43,LN229,(-)-gallocatechin-3-monogallate,5.03
44,RMUGS,(-)-gallocatechin-3-monogallate,5.048
45,TYKNU,(-)-gallocatechin-3-monogallate,5.061
46,NCIH1755,(-)-gallocatechin-3-monogallate,5.065
47,HCC2935,(-)-gallocatechin-3-monogallate,5.066
48,NCIH596,(-)-gallocatechin-3-monogallate,5.126
49,RCC10RGB,(-)-gallocatechin-3-monogallate,5.128
50,SKLU1,(-)-gallocatechin-3-monogallate,5.144
51,NCIH2110,(-)-gallocatechin-3-monogallate,5.154
52,NCIH508,(-)-gallocatechin-3-monogallate,5.175
53,MDST8,(-)-gallocatechin-3-monogallate,5.183
54,SW948,(-)-gallocatechin-3-monogallate,5.191
55,NCIH1876,(-)-gallocatechin-3-monogallate,5.194
56,IGROV1,(-)-gallocatechin-3-monogallate,5.202
57,JHOM1,(-)-gallocatechin-3-monogallate,5.207
58,COLO678,(-)-gallocatechin-3-monogallate,5.265
59,LOVO,(-)-gallocatechin-3-monogallate,5.292
60,HCC1833,(-)-gallocatechin-3-monogallate,5.294
61,T3M10,(-)-gallocatechin-3-monogallate,5.3
62,CAOV3,(-)-gallocatechin-3-monogallate,5.304
63,SQ1,(-)-gallocatechin-3-monogallate,5.313
64,NCIH2172,(-)-gallocatechin-3-monogallate,5.327
65,HT1080,(-)-gallocatechin-3-monogallate,5.355
66,NCIH2342,(-)-gallocatechin-3-monogallate,5.356
67,NCIH2023,(-)-gallocatechin-3-monogallate,5.368
68,SNU1040,(-)-gallocatechin-3-monogallate,5.369
69,RPMI8226,(-)-gallocatechin-3-monogallate,5.387
70,RCM1,(-)-gallocatechin-3-monogallate,5.437
71,NCIH2122,(-)-gallocatechin-3-monogallate,5.454
72,U937,(-)-gallocatechin-3-monogallate,5.463
73,SNU61,(-)-gallocatechin-3-monogallate,5.465
74,LS180,(-)-gallocatechin-3-monogallate,5.509
75,OV90,(-)-gallocatechin-3-monogallate,5.51
76,SKMEL5,(-)-gallocatechin-3-monogallate,5.532
77,EFO27,(-)-gallocatechin-3-monogallate,5.544
78,SW620,(-)-gallocatechin-3-monogallate,5.563
79,MOLM16,(-)-gallocatechin-3-monogallate,5.606
80,JHUEM2,(-)-gallocatechin-3-monogallate,5.612
81,THP1,(-)-gallocatechin-3-monogallate,5.62
82,HT115,(-)-gallocatechin-3-monogallate,5.626
83,AMO1,(-)-gallocatechin-3-monogallate,5.628
84,OCILY10,(-)-gallocatechin-3-monogallate,5.631
85,HCC827,(-)-gallocatechin-3-monogallate,5.634
86,SNU175,(-)-gallocatechin-3-monogallate,5.646
87,HCC4006,(-)-gallocatechin-3-monogallate,5.651
88,HT29,(-)-gallocatechin-3-monogallate,5.655
89,OV7,(-)-gallocatechin-3-monogallate,5.655
90,NCIH1781,(-)-gallocatechin-3-monogallate,5.66
91,HCC1195,(-)-gallocatechin-3-monogallate,5.684
92,SKMEL1,(-)-gallocatechin-3-monogallate,5.691
93,EJM,(-)-gallocatechin-3-monogallate,5.712
94,SW480,(-)-gallocatechin-3-monogallate,5.718
95,NCIH460,(-)-gallocatechin-3-monogallate,5.774
96,NCIH841,(-)-gallocatechin-3-monogallate,5.781
97,RKN,(-)-gallocatechin-3-monogallate,5.858
98,NCIH2030,(-)-gallocatechin-3-monogallate,5.861
99,RMGI,(-)-gallocatechin-3-monogallate,5.903
100,JHOC5,(-)-gallocatechin-3-monogallate,5.908
101,HCT8,(-)-gallocatechin-3-monogallate,6.017
102,NCIH2141,(-)-gallocatechin-3-monogallate,6.037
103,NCIH2081,(-)-gallocatechin-3-monogallate,6.061
104,NCIH1836,(-)-gallocatechin-3-monogallate,6.116
105,SCC9,(-)-gallocatechin-3-monogallate,6.128
106,HT55,(-)-gallocatechin-3-monogallate,6.167
107,HEPG2,(-)-gallocatechin-3-monogallate,6.214
108,COV362,(-)-gallocatechin-3-monogallate,6.219
109,AGS,(-)-gallocatechin-3-monogallate,6.258
110,CL34,(-)-gallocatechin-3-monogallate,6.275
111,CL40,(-)-gallocatechin-3-monogallate,6.387
112,OAW42,(-)-gallocatechin-3-monogallate,6.705
113,SNUC4,(-)-gallocatechin-3-monogallate,6.808
114,SKMEL28,(-)-gallocatechin-3-monogallate,6.817
115,RT4,16-beta-bromoandrosterone,2.723
116,NCIH2029,16-beta-bromoandrosterone,3.635
117,NCIH1963,16-beta-bromoandrosterone,3.697
118,OVKATE,16-beta-bromoandrosterone,3.709
119,CORL51,16-beta-bromoandrosterone,3.747
120,SKM1,16-beta-bromoandrosterone,3.771
121,KE97,16-beta-bromoandrosterone,3.886
122,KMS11,16-beta-bromoandrosterone,3.943
123,GDM1,16-beta-bromoandrosterone,3.966
124,NOMO1,16-beta-bromoandrosterone,3.99
125,KU812,16-beta-bromoandrosterone,4.109
126,SW48,16-beta-bromoandrosterone,4.117
127,SUDHL5,16-beta-bromoandrosterone,4.118
128,LS513,16-beta-bromoandrosterone,4.127
129,SHP77,16-beta-bromoandrosterone,4.15
130,OVCAR8,16-beta-bromoandrosterone,4.187
131,OCIAML3,16-beta-bromoandrosterone,4.192
132,OVCAR4,16-beta-bromoandrosterone,4.278
133,NCIH23,16-beta-bromoandrosterone,4.347
134,G401,16-beta-bromoandrosterone,4.391
135,NCIH810,16-beta-bromoandrosterone,4.479
136,PL21,16-beta-bromoandrosterone,4.506
137,MFE319,16-beta-bromoandrosterone,4.52
138,HT1376,16-beta-bromoandrosterone,4.551
139,NCIH1048,16-beta-bromoandrosterone,4.561
140,LP1,16-beta-bromoandrosterone,4.662
141,NCIH1568,16-beta-bromoandrosterone,4.673
142,NCIH1836,16-beta-bromoandrosterone,4.727
143,HT,16-beta-bromoandrosterone,4.797
144,NCIH1694,16-beta-bromoandrosterone,4.803
145,HEC151,16-beta-bromoandrosterone,4.807
146,NCIH522,16-beta-bromoandrosterone,4.821
147,NCIH1299,16-beta-bromoandrosterone,4.826
148,SNU398,16-beta-bromoandrosterone,4.827
149,COLO205,16-beta-bromoandrosterone,4.957
150,NCIH28,16-beta-bromoandrosterone,4.958
151,NCIH1876,16-beta-bromoandrosterone,4.979
152,MSTO211H,16-beta-bromoandrosterone,4.981
153,RMUGS,16-beta-bromoandrosterone,5.03
154,KYSE140,16-beta-bromoandrosterone,5.073
155,OVK18,16-beta-bromoandrosterone,5.095
156,COV434,16-beta-bromoandrosterone,5.137
157,LU99,16-beta-bromoandrosterone,5.151
158,SCLC21H,16-beta-bromoandrosterone,5.158
159,NCIH2081,16-beta-bromoandrosterone,5.182
160,CORL88,16-beta-bromoandrosterone,5.206
161,NCIH661,16-beta-bromoandrosterone,5.227
162,CHAGOK1,16-beta-bromoandrosterone,5.251
163,QGP1,16-beta-bromoandrosterone,5.284
164,WSUDLCL2,16-beta-bromoandrosterone,5.292
165,U937,16-beta-bromoandrosterone,5.33
166,NCIH2342,16-beta-bromoandrosterone,5.331
167,RMGI,16-beta-bromoandrosterone,5.34
168,LCLC97TM1,16-beta-bromoandrosterone,5.351
169,HEC251,16-beta-bromoandrosterone,5.357
170,NCIH358,16-beta-bromoandrosterone,5.363
171,DLD1,16-beta-bromoandrosterone,5.367
172,THP1,16-beta-bromoandrosterone,5.375
173,NCIH2110,16-beta-bromoandrosterone,5.381
174,RPMI8226,16-beta-bromoandrosterone,5.389
175,BL70,16-beta-bromoandrosterone,5.394
176,HSC2,16-beta-bromoandrosterone,5.395
177,SNUC5,16-beta-bromoandrosterone,5.404
178,P3HR1,16-beta-bromoandrosterone,5.418
179,NCIH82,16-beta-bromoandrosterone,5.437
180,CORL279,16-beta-bromoandrosterone,5.44
181,CW2,16-beta-bromoandrosterone,5.443
182,GP2D,16-beta-bromoandrosterone,5.454
183,KP3,16-beta-bromoandrosterone,5.455
184,COLO741,16-beta-bromoandrosterone,5.496
185,VMRCLCD,16-beta-bromoandrosterone,5.551
186,HEC265,16-beta-bromoandrosterone,5.557
187,G361,16-beta-bromoandrosterone,5.577
188,EBC1,16-beta-bromoandrosterone,5.595
189,NCIH1975,16-beta-bromoandrosterone,5.604
190,HCC78,16-beta-bromoandrosterone,5.611
191,SNU175,16-beta-bromoandrosterone,5.619
192,SNU81,16-beta-bromoandrosterone,5.623
193,COLO668,16-beta-bromoandrosterone,5.631
194,JHOC5,16-beta-bromoandrosterone,5.65
195,HEC6,16-beta-bromoandrosterone,5.676
196,HCC33,16-beta-bromoandrosterone,5.702
197,NCIH1930,16-beta-bromoandrosterone,5.702
198,NCIH1373,16-beta-bromoandrosterone,5.747
199,NCIH1573,16-beta-bromoandrosterone,5.751
200,NCIH841,16-beta-bromoandrosterone,5.754
201,NCIH2009,16-beta-bromoandrosterone,5.763
202,MOLM16,16-beta-bromoandrosterone,5.801
203,LS180,16-beta-bromoandrosterone,5.807
204,NCIH1105,16-beta-bromoandrosterone,5.81
205,DMS273,16-beta-bromoandrosterone,5.815
206,HCT116,16-beta-bromoandrosterone,5.871
207,NCIH727,16-beta-bromoandrosterone,5.872
208,C2BBE1,16-beta-bromoandrosterone,5.874
209,MKN7,16-beta-bromoandrosterone,5.883
210,LN229,16-beta-bromoandrosterone,5.886
211,5637,16-beta-bromoandrosterone,5.887
212,KYSE410,16-beta-bromoandrosterone,5.89
213,NCIH1666,16-beta-bromoandrosterone,5.891
214,SKCO1,16-beta-bromoandrosterone,5.892
215,NCIH1944,16-beta-bromoandrosterone,5.893
216,AGS,16-beta-bromoandrosterone,5.938
217,PANC0327,16-beta-bromoandrosterone,5.945
218,CALU6,16-beta-bromoandrosterone,5.979
219,NCIH441,16-beta-bromoandrosterone,5.988
220,VMRCRCW,16-beta-bromoandrosterone,5.993
221,JHOM1,16-beta-bromoandrosterone,5.998
222,MCF7,16-beta-bromoandrosterone,6.012
223,EFO27,16-beta-bromoandrosterone,6.012
224,KMBC2,16-beta-bromoandrosterone,6.019
225,LCLC103H,16-beta-bromoandrosterone,6.04
226,MC116,16-beta-bromoandrosterone,6.054
227,HS944T,16-beta-bromoandrosterone,6.057
228,SKOV3,16-beta-bromoandrosterone,6.064
229,NCIH2141,16-beta-bromoandrosterone,6.071
230,SW480,16-beta-bromoandrosterone,6.074
231,HCC1195,16-beta-bromoandrosterone,6.074
232,NCIH2126,16-beta-bromoandrosterone,6.08
233,OCILY10,16-beta-bromoandrosterone,6.084
234,A375,16-beta-bromoandrosterone,6.099
235,KYSE450,16-beta-bromoandrosterone,6.103
236,HEYA8,16-beta-bromoandrosterone,6.112
237,IGROV1,16-beta-bromoandrosterone,6.127
238,SUIT2,16-beta-bromoandrosterone,6.144
239,NCIH1792,16-beta-bromoandrosterone,6.144
240,LS411N,16-beta-bromoandrosterone,6.156
241,A549,16-beta-bromoandrosterone,6.164
242,SNUC2A,16-beta-bromoandrosterone,6.172
243,HS936T,16-beta-bromoandrosterone,6.199
244,RKN,16-beta-bromoandrosterone,6.203
245,COLO678,16-beta-bromoandrosterone,6.203
246,NUDUL1,16-beta-bromoandrosterone,6.226
247,NCIH1355,16-beta-bromoandrosterone,6.228
248,NCIH3255,16-beta-bromoandrosterone,6.235
249,EPLC272H,16-beta-bromoandrosterone,6.239
250,CAPAN2,16-beta-bromoandrosterone,6.253
251,NCIH1435,16-beta-bromoandrosterone,6.254
252,HCC1359,16-beta-bromoandrosterone,6.257
253,HUPT4,16-beta-bromoandrosterone,6.272
254,SUDHL4,16-beta-bromoandrosterone,6.273
255,LXF289,16-beta-bromoandrosterone,6.274
256,ISHIKAWAHERAKLIO02ER,16-beta-bromoandrosterone,6.288
257,HCC2935,16-beta-bromoandrosterone,6.295
258,SW948,16-beta-bromoandrosterone,6.301
259,NCIH508,16-beta-bromoandrosterone,6.318
260,HCC15,16-beta-bromoandrosterone,6.34
261,PANC1005,16-beta-bromoandrosterone,6.346
262,HEC108,16-beta-bromoandrosterone,6.348
263,NCIH650,16-beta-bromoandrosterone,6.353
264,NCIH2286,16-beta-bromoandrosterone,6.364
265,NCIH1793,16-beta-bromoandrosterone,6.369
266,EJM,16-beta-bromoandrosterone,6.38
267,JHUEM2,16-beta-bromoandrosterone,6.388
268,HS852T,16-beta-bromoandrosterone,6.39
269,SKMEL1,16-beta-bromoandrosterone,6.402
270,SNU840,16-beta-bromoandrosterone,6.412
271,HCC4006,16-beta-bromoandrosterone,6.416
272,TYKNU,16-beta-bromoandrosterone,6.418
273,PC3,16-beta-bromoandrosterone,6.419
274,NCIH2052,16-beta-bromoandrosterone,6.42
275,NCIH1915,16-beta-bromoandrosterone,6.422
276,NUGC4,16-beta-bromoandrosterone,6.424
277,SNU449,16-beta-bromoandrosterone,6.429
278,SW403,16-beta-bromoandrosterone,6.436
279,FU97,16-beta-bromoandrosterone,6.441
280,SNUC4,16-beta-bromoandrosterone,6.445
281,A2780,16-beta-bromoandrosterone,6.451
282,KNS62,16-beta-bromoandrosterone,6.456
283,NCIH1781,16-beta-bromoandrosterone,6.461
284,SQ1,16-beta-bromoandrosterone,6.463
285,CFPAC1,16-beta-bromoandrosterone,6.471
286,KM12,16-beta-bromoandrosterone,6.472
287,UMUC3,16-beta-bromoandrosterone,6.481
288,CAL12T,16-beta-bromoandrosterone,6.501
289,CALU3,16-beta-bromoandrosterone,6.503
290,HCC44,16-beta-bromoandrosterone,6.509
291,HT115,16-beta-bromoandrosterone,6.517
292,SW620,16-beta-bromoandrosterone,6.561
293,NCIH2405,16-beta-bromoandrosterone,6.576
294,CORL23,16-beta-bromoandrosterone,6.577
295,RERFLCKJ,16-beta-bromoandrosterone,6.579
296,HEC59,16-beta-bromoandrosterone,6.579
297,HT55,16-beta-bromoandrosterone,6.585
298,JHOS4,16-beta-bromoandrosterone,6.587
299,SNGM,16-beta-bromoandrosterone,6.588
300,LC1SQSF,16-beta-bromoandrosterone,6.591
301,LS123,16-beta-bromoandrosterone,6.597
302,HCC827,16-beta-bromoandrosterone,6.609
303,SKLU1,16-beta-bromoandrosterone,6.618
304,DV90,16-beta-bromoandrosterone,6.62
305,U2OS,16-beta-bromoandrosterone,6.621
306,HCC1833,16-beta-bromoandrosterone,6.654
307,CAOV3,16-beta-bromoandrosterone,6.665
308,NCIH1437,16-beta-bromoandrosterone,6.673
309,RCC10RGB,16-beta-bromoandrosterone,6.681
310,GAMG,16-beta-bromoandrosterone,6.683
311,OVMANA,16-beta-bromoandrosterone,6.695
312,RCM1,16-beta-bromoandrosterone,6.703
313,KLE,16-beta-bromoandrosterone,6.704
314,NCIH2172,16-beta-bromoandrosterone,6.711
315,PATU8902,16-beta-bromoandrosterone,6.713
316,NCIH596,16-beta-bromoandrosterone,6.737
317,COV318,16-beta-bromoandrosterone,6.741
318,BEN,16-beta-bromoandrosterone,6.744
319,OV90,16-beta-bromoandrosterone,6.75
320,HARA,16-beta-bromoandrosterone,6.754
321,MKN74,16-beta-bromoandrosterone,6.762
322,RKO,16-beta-bromoandrosterone,6.762
323,T3M10,16-beta-bromoandrosterone,6.779
324,SF295,16-beta-bromoandrosterone,6.834
325,HPAC,16-beta-bromoandrosterone,6.872
326,JHH6,16-beta-bromoandrosterone,6.892
327,LU65,16-beta-bromoandrosterone,6.896
328,SKMEL5,16-beta-bromoandrosterone,6.918
329,HCC2108,16-beta-bromoandrosterone,6.94
330,NCIH1755,16-beta-bromoandrosterone,6.949
331,CL40,16-beta-bromoandrosterone,7.051
332,SNU61,16-beta-bromoandrosterone,7.094
333,SCC9,16-beta-bromoandrosterone,7.098
334,NCIH460,16-beta-bromoandrosterone,7.12
335,NCIH2122,16-beta-bromoandrosterone,7.135
336,SH10TC,16-beta-bromoandrosterone,7.142
337,EFO21,16-beta-bromoandrosterone,7.149
338,CL34,16-beta-bromoandrosterone,7.179
339,OV7,16-beta-bromoandrosterone,7.191
340,COV644,16-beta-bromoandrosterone,7.237
341,MDST8,16-beta-bromoandrosterone,7.251
342,SKMEL28,16-beta-bromoandrosterone,7.263
343,NCIH2023,16-beta-bromoandrosterone,7.266
344,COV362,16-beta-bromoandrosterone,7.266
345,NCIH2030,16-beta-bromoandrosterone,7.286
346,LOVO,16-beta-bromoandrosterone,7.301
347,HCT8,16-beta-bromoandrosterone,7.305
348,SNU1040,16-beta-bromoandrosterone,7.402
349,HEPG2,16-beta-bromoandrosterone,7.45
350,HT1080,16-beta-bromoandrosterone,7.498
351,COLO320,16-beta-bromoandrosterone,7.521
352,OAW42,16-beta-bromoandrosterone,7.652
353,AMO1,16-beta-bromoandrosterone,7.73
354,HT29,16-beta-bromoandrosterone,7.818
355,GDM1,"1S,3R-RSL-3",0.075
356,RKN,"1S,3R-RSL-3",0.076
357,NOMO1,"1S,3R-RSL-3",0.106
358,JHOC5,"1S,3R-RSL-3",0.173
359,NCIH1694,"1S,3R-RSL-3",0.182
360,OVCAR4,"1S,3R-RSL-3",0.304
361,HCC1359,"1S,3R-RSL-3",0.401
362,NCIH508,"1S,3R-RSL-3",0.402
363,OVK18,"1S,3R-RSL-3",0.591
364,LS123,"1S,3R-RSL-3",0.75
365,WSUDLCL2,"1S,3R-RSL-3",0.78
366,SCLC21H,"1S,3R-RSL-3",0.791
367,NCIH1963,"1S,3R-RSL-3",1.144
368,SNU840,"1S,3R-RSL-3",1.291
369,SKM1,"1S,3R-RSL-3",1.31
370,RMUGS,"1S,3R-RSL-3",1.362
371,EFO27,"1S,3R-RSL-3",1.53
372,CORL23,"1S,3R-RSL-3",1.618
373,HCC827,"1S,3R-RSL-3",1.734
374,SUDHL5,"1S,3R-RSL-3",1.746
375,PL21,"1S,3R-RSL-3",2.107
376,SW948,"1S,3R-RSL-3",2.111
377,KM12,"1S,3R-RSL-3",2.114
378,IGROV1,"1S,3R-RSL-3",2.129
379,OVCAR8,"1S,3R-RSL-3",2.183
380,RMGI,"1S,3R-RSL-3",2.196
381,COV434,"1S,3R-RSL-3",2.222
382,NCIH441,"1S,3R-RSL-3",2.222
383,EJM,"1S,3R-RSL-3",2.419
384,NUDUL1,"1S,3R-RSL-3",2.442
385,TYKNU,"1S,3R-RSL-3",2.483
386,HCC2108,"1S,3R-RSL-3",2.493
387,SUDHL4,"1S,3R-RSL-3",2.629
388,THP1,"1S,3R-RSL-3",2.792
389,U937,"1S,3R-RSL-3",2.891
390,OCIAML3,"1S,3R-RSL-3",2.959
391,MDST8,"1S,3R-RSL-3",3.046
392,OVKATE,"1S,3R-RSL-3",3.049
393,HCC4006,"1S,3R-RSL-3",3.073
394,HCC1833,"1S,3R-RSL-3",3.111
395,NCIH1876,"1S,3R-RSL-3",3.397
396,MOLM16,"1S,3R-RSL-3",3.448
397,NCIH1781,"1S,3R-RSL-3",3.613
398,NCIH2141,"1S,3R-RSL-3",3.781
399,A2780,"1S,3R-RSL-3",3.843
400,RPMI8226,"1S,3R-RSL-3",4.022
401,HEC151,"1S,3R-RSL-3",4.123
402,COLO320,"1S,3R-RSL-3",4.229
403,HCC1195,"1S,3R-RSL-3",4.339
404,COLO678,"1S,3R-RSL-3",4.453
405,KMS11,"1S,3R-RSL-3",4.484
406,SNU1040,"1S,3R-RSL-3",4.589
407,SNUC5,"1S,3R-RSL-3",4.644
408,HT1080,"1S,3R-RSL-3",4.696
409,SW480,"1S,3R-RSL-3",4.703
410,A375,"1S,3R-RSL-3",4.746
411,HCC15,"1S,3R-RSL-3",4.79
412,T3M10,"1S,3R-RSL-3",4.831
413,NCIH3255,"1S,3R-RSL-3",4.848
414,SNUC4,"1S,3R-RSL-3",4.854
415,NCIH1755,"1S,3R-RSL-3",4.943
416,CL40,"1S,3R-RSL-3",4.959
417,SNU61,"1S,3R-RSL-3",4.961
418,HT29,"1S,3R-RSL-3",5.074
419,SNU398,"1S,3R-RSL-3",5.114
420,CORL51,"1S,3R-RSL-3",5.166
421,NCIH2081,"1S,3R-RSL-3",5.186
422,HEPG2,"1S,3R-RSL-3",5.3
423,NCIH1105,"1S,3R-RSL-3",5.33
424,OAW42,"1S,3R-RSL-3",5.381
425,AMO1,"1S,3R-RSL-3",5.556
426,LP1,"1S,3R-RSL-3",5.664
427,SKLU1,"1S,3R-RSL-3",5.809
428,OV90,"1S,3R-RSL-3",5.85
429,NCIH2110,"1S,3R-RSL-3",5.866
430,OV7,"1S,3R-RSL-3",5.878
431,NCIH1836,"1S,3R-RSL-3",5.897
432,LOVO,"1S,3R-RSL-3",5.942
433,CW2,"1S,3R-RSL-3",5.949
434,SNU81,"1S,3R-RSL-3",5.972
435,NCIH841,"1S,3R-RSL-3",6.09
436,HCT116,"1S,3R-RSL-3",6.13
437,SKMEL1,"1S,3R-RSL-3",6.177
438,NCIH2342,"1S,3R-RSL-3",6.18
439,NCIH460,"1S,3R-RSL-3",6.209
440,LN229,"1S,3R-RSL-3",6.219
441,MCF7,"1S,3R-RSL-3",6.236
442,CL34,"1S,3R-RSL-3",6.255
443,NCIH596,"1S,3R-RSL-3",6.259
444,SQ1,"1S,3R-RSL-3",6.298
445,JHOM1,"1S,3R-RSL-3",6.326
446,RKO,"1S,3R-RSL-3",6.351
447,SKMEL5,"1S,3R-RSL-3",6.534
448,NCIH2122,"1S,3R-RSL-3",6.601
449,SKMEL28,"1S,3R-RSL-3",6.66
450,NCIH2172,"1S,3R-RSL-3",6.672
451,RCM1,"1S,3R-RSL-3",6.7
452,JHUEM2,"1S,3R-RSL-3",6.716
453,HCC2935,"1S,3R-RSL-3",6.746
454,SCC9,"1S,3R-RSL-3",6.765
455,HT115,"1S,3R-RSL-3",6.773
456,SW620,"1S,3R-RSL-3",6.809
457,HT55,"1S,3R-RSL-3",6.847
458,NCIH2023,"1S,3R-RSL-3",6.856
459,HCT8,"1S,3R-RSL-3",6.9
460,COV644,"1S,3R-RSL-3",6.901
461,CAL12T,"1S,3R-RSL-3",6.974
462,SNU175,"1S,3R-RSL-3",7.087
463,COV362,"1S,3R-RSL-3",7.147
464,NCIH2030,"1S,3R-RSL-3",7.179
465,CAOV3,"1S,3R-RSL-3",7.252
466,AGS,"1S,3R-RSL-3",7.393
467,LS180,"1S,3R-RSL-3",7.542
468,OCILY10,"1S,3R-RSL-3",7.729
469,NCIH1963,"2,4-dideoxy-DC-45-A2",2.266
470,BL70,"2,4-dideoxy-DC-45-A2",2.595
471,SUDHL5,"2,4-dideoxy-DC-45-A2",2.713
472,NUDUL1,"2,4-dideoxy-DC-45-A2",2.768
473,SNU175,"2,4-dideoxy-DC-45-A2",2.805
474,NCIH1876,"2,4-dideoxy-DC-45-A2",2.848
475,COLO668,"2,4-dideoxy-DC-45-A2",2.878
476,NCIH1930,"2,4-dideoxy-DC-45-A2",3.017
477,NCIH2286,"2,4-dideoxy-DC-45-A2",3.195
478,NCIH1435,"2,4-dideoxy-DC-45-A2",3.22
479,KLE,"2,4-dideoxy-DC-45-A2",3.272
480,PC3,"2,4-dideoxy-DC-45-A2",3.409
481,OVKATE,"2,4-dideoxy-DC-45-A2",3.426
482,JHUEM2,"2,4-dideoxy-DC-45-A2",3.528
483,LXF289,"2,4-dideoxy-DC-45-A2",3.633
484,NCIH1105,"2,4-dideoxy-DC-45-A2",3.665
485,SCLC21H,"2,4-dideoxy-DC-45-A2",3.735
486,HEC151,"2,4-dideoxy-DC-45-A2",3.769
487,LS180,"2,4-dideoxy-DC-45-A2",3.866
488,NCIH2141,"2,4-dideoxy-DC-45-A2",3.933
489,HEC108,"2,4-dideoxy-DC-45-A2",4.03
490,AGS,"2,4-dideoxy-DC-45-A2",4.074
491,OCIAML3,"2,4-dideoxy-DC-45-A2",4.089
492,ISHIKAWAHERAKLIO02ER,"2,4-dideoxy-DC-45-A2",4.142
493,OVCAR8,"2,4-dideoxy-DC-45-A2",4.158
494,KMS11,"2,4-dideoxy-DC-45-A2",4.32
495,AMO1,"2,4-dideoxy-DC-45-A2",4.361
496,EJM,"2,4-dideoxy-DC-45-A2",4.603
497,HEC59,"2,4-dideoxy-DC-45-A2",4.614
498,NCIH1694,"2,4-dideoxy-DC-45-A2",4.638
499,SNGM,"2,4-dideoxy-DC-45-A2",4.713
500,SNUC4,"2,4-dideoxy-DC-45-A2",4.8
501,OVMANA,"2,4-dideoxy-DC-45-A2",4.829
502,OVK18,"2,4-dideoxy-DC-45-A2",4.878
503,SKM1,"2,4-dideoxy-DC-45-A2",4.936
504,GDM1,"2,4-dideoxy-DC-45-A2",4.987
505,NCIH1915,"2,4-dideoxy-DC-45-A2",4.992
506,A2780,"2,4-dideoxy-DC-45-A2",5.007
507,WSUDLCL2,"2,4-dideoxy-DC-45-A2",5.049
508,RERFLCKJ,"2,4-dideoxy-DC-45-A2",5.062
509,NCIH2110,"2,4-dideoxy-DC-45-A2",5.193
510,MKN74,"2,4-dideoxy-DC-45-A2",5.193
511,SNU398,"2,4-dideoxy-DC-45-A2",5.21
512,SNU449,"2,4-dideoxy-DC-45-A2",5.263
513,NOMO1,"2,4-dideoxy-DC-45-A2",5.293
514,COV434,"2,4-dideoxy-DC-45-A2",5.429
515,JHOS4,"2,4-dideoxy-DC-45-A2",5.528
516,PATU8902,"2,4-dideoxy-DC-45-A2",5.558
517,CW2,"2,4-dideoxy-DC-45-A2",5.613
518,COV318,"2,4-dideoxy-DC-45-A2",5.664
519,NCIH596,"2,4-dideoxy-DC-45-A2",5.679
520,THP1,"2,4-dideoxy-DC-45-A2",5.765
521,SNU81,"2,4-dideoxy-DC-45-A2",5.772
